,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
26675,United States of America,Peach Bottom,USA0003166,2784.6,39.7589,-76.2687,1974.4945054945056,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26724,United States of America,Perry,USA0006020,1311.6,41.8006,-81.1439,1987.0,FirstEnergy Nuclear Operating Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26767,United States of America,Pilgrim Nuclear Power Station,USA0001590,670.0,41.9438,-70.578,1973.0,Entergy Nuclear Generation Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26866,United States of America,Point Beach Nuclear Plant,USA0004046,1311.0,44.2806,-87.5369,1971.4523264683448,NextEra Energy Point Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26941,United States of America,Prairie Island,USA0001925,1186.2,44.622,-92.6333,1974.0,Northern States Power Co - Minnesota,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
27014,United States of America,Quad Cities Generating Station,USA0000880,2018.6,41.7261,-90.3103,1973.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
27039,United States of America,R E Ginna Nuclear Power Plant,USA0006122,614.0,43.2777,-77.3099,1970.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
27252,United States of America,River Bend,USA0006462,1035.9,30.757,-91.3327,1986.0,Entergy Louisiana LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
27664,United States of America,Seabrook,USA0006115,1242.0,42.8992,-70.8489,1990.0,NextEra Energy Seabrook LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
27704,United States of America,Sequoyah,USA0006152,2441.0,35.2267,-85.0917,1981.5,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28016,United States of America,South Texas Project,USA0006251,2708.6,28.795,-96.0481,1988.5,STP Nuclear Operating Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28119,United States of America,St Lucie,USA0006045,2160.0,27.3486,-80.2464,1979.5,Florida Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28324,United States of America,Surry,USA0003806,1695.0,37.1661,-76.6986,1973.0,Virginia Electric & Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28412,United States of America,TalenEnergy Susquehanna,USA0006103,2596.0,41.0919,-76.1462,1984.0,TalenEnergy Susquehanna LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28522,United States of America,Three Mile Island,USA0008011,980.8,40.1515,-76.7232,1974.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28651,United States of America,Turkey Point,USA0000621,2861.2,25.4356,-80.3308,1987.5449461764292,Florida Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28795,United States of America,V C Summer,USA0006127,1029.6,34.2983,-81.3153,1984.0,South Carolina Electric&Gas Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
28916,United States of America,Vogtle,USA0000649,2320.0,33.1427,-81.7625,1988.0,Georgia Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
29080,United States of America,Waterford 3,USA0004270,1199.8,29.9953,-90.4716,1985.0,Entergy Louisiana LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
29098,United States of America,Watts Bar Nuclear Plant,USA0007722,2539.8,35.6021,-84.7895,2006.0,Tennessee Valley Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
29423,United States of America,Wolf Creek Generating Station,USA0000210,1267.7,38.2393,-95.6898,1985.0,Wolf Creek Nuclear Optg Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
